Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2020,113.90,126.00,112.45,115.70,119.708482305799427788,254801,6988,30501841.00,97979,38.45,13.55,1.80
29-April-2020,116.00,116.00,111.50,112.10,112.073365395773431153,310228,3326,34768296.00,40577,13.08,4.50,-3.90
28-April-2020,117.50,117.50,114.60,115.30,115.856379187455452601,30866,1114,3576023.00,15367,49.79,2.90,-2.20
27-April-2020,123.00,123.25,98.00,115.85,116.715608172899609058,54228,3528,6329254.00,21492,39.63,25.25,-7.15
24-April-2020,124.60,131.00,119.25,122.30,122.622926691197282762,52995,1314,6498402.00,21009,39.64,11.75,-2.30
23-April-2020,124.00,127.90,122.80,123.95,125.497129787424881155,44596,1953,5596670.00,22072,49.49,5.10,-0.05
22-April-2020,128.90,132.00,121.40,122.00,124.874008678737094119,46781,2661,5841731.00,22540,48.18,10.60,-6.90
21-April-2020,140.00,140.00,125.60,127.60,131.650358243772390235,48012,3288,6320797.00,28023,58.37,14.40,-12.40
20-April-2020,145.00,147.60,139.40,139.75,142.091481751131651419,31591,3596,4488812.00,15567,49.28,8.20,-5.25
17-April-2020,143.95,145.25,141.05,143.10,142.925684136710466999,59893,3148,8560248.00,23739,39.64,4.20,-0.85
16-April-2020,145.50,145.50,138.05,138.80,140.459379882225694027,49926,3576,7012575.00,27312,54.70,7.45,-6.70
15-April-2020,147.20,153.40,142.65,145.50,148.130383372309956118,38057,1844,5637398.00,8416,22.11,10.75,-1.70
13-April-2020,150.15,155.00,144.25,145.25,148.993847548733890292,30882,1352,4601228.00,8381,27.14,10.75,-4.90
9-April-2020,150.65,152.25,148.10,149.50,149.440962573168568556,16913,775,2527495.00,7679,45.40,4.15,-1.15
8-April-2020,146.90,152.35,146.90,149.20,150.285557687037544532,18245,1068,2741960.00,7564,41.46,5.45,2.30
7-April-2020,147.20,152.60,146.50,149.45,149.210603642627352635,39477,1334,5890387.00,9023,22.86,6.10,2.25
3-April-2020,150.00,150.00,142.10,146.00,144.921084458778472082,19844,1328,2875814.00,3674,18.51,7.90,-4.00
1-April-2020,153.00,154.35,147.25,150.75,150.468037353212296100,24951,1098,3754328.00,13297,53.29,7.10,-2.25
31-March-2020,164.00,164.00,151.30,153.15,154.640879365521079727,21561,1535,3334212.00,9504,44.08,12.70,-10.85
30-March-2020,163.00,165.20,153.00,158.50,159.280078419544563414,33155,1791,5280931.00,9992,30.14,12.20,-4.50
27-March-2020,173.10,175.35,160.35,166.65,167.140483834839095049,53572,1759,8954050.00,19018,35.50,15.00,-6.45
26-March-2020,171.85,175.25,158.25,169.35,165.827389203948750262,47610,2329,7895042.00,8012,16.83,17.00,-2.50
25-March-2020,177.40,179.00,162.40,171.05,170.723771224307417336,11190,799,1910399.00,2029,18.13,16.60,-6.35
24-March-2020,166.60,174.60,149.65,169.95,161.302549919050188882,29648,1572,4782298.00,8597,29.00,24.95,3.35
23-March-2020,178.00,178.00,150.55,160.90,168.193403146658572368,39534,2518,6649358.00,14925,37.75,27.45,-17.10
20-March-2020,188.00,189.00,174.55,186.85,179.833003445495198299,54564,2103,9812408.00,14302,26.21,14.45,-1.15
19-March-2020,176.55,186.75,154.00,176.00,172.644130567006825707,73985,2659,12773076.00,18828,25.45,32.75,-0.55
18-March-2020,212.00,212.00,180.60,183.95,190.806261679850497913,39063,1376,7453465.00,15988,40.93,31.40,-28.05
17-March-2020,212.00,213.90,204.95,209.35,209.802175619603005495,17834,1021,3741612.00,7681,43.07,8.95,-2.65
16-March-2020,225.95,226.05,195.15,202.75,218.294682430823990840,88217,3877,19257302.00,44836,50.82,30.90,-23.20
13-March-2020,203.00,236.60,195.00,227.80,222.329653419754957391,85781,1971,19071660.00,42633,49.70,41.60,24.80
12-March-2020,230.00,230.00,214.00,224.65,219.972279398005827474,74818,1172,16457886.00,61416,82.09,16.00,-5.35
11-March-2020,242.90,247.75,232.55,235.60,241.609399595232741173,26682,1288,6446622.00,12065,45.22,15.20,-7.30
9-March-2020,230.00,244.40,230.00,242.30,239.464358843102124392,31256,1545,7484698.00,9208,29.46,14.40,12.30
6-March-2020,240.30,251.70,239.65,248.90,246.406847094651014293,40718,1171,10033194.00,5960,14.64,12.05,8.60
5-March-2020,253.10,255.25,249.40,252.15,252.000352659049231203,14178,427,3572861.00,6921,48.82,5.85,-0.95
4-March-2020,263.00,263.00,243.75,249.90,254.228200927966792168,349797,1770,88928262.00,305324,87.29,19.25,-13.10
3-March-2020,241.00,259.90,239.70,254.45,251.313790450948583788,131301,1547,32997752.00,106445,81.07,20.20,13.45
2-March-2020,257.00,259.60,235.70,240.95,249.759618344105878731,32490,885,8114690.00,18343,56.46,23.90,-16.05
28-February-2020,257.60,260.50,250.05,251.55,254.399373568323126548,42782,2083,10883714.00,16363,38.25,10.45,-6.05
27-February-2020,262.60,266.60,255.00,261.10,261.001758748256413366,32978,1041,8607316.00,5642,17.11,11.60,-1.50
26-February-2020,264.75,265.80,260.20,262.25,262.752315589777926570,17922,861,4709047.00,5887,32.85,5.60,-2.50
25-February-2020,278.95,283.50,264.80,267.45,274.632331606217616580,38600,1183,10600808.00,7613,19.72,18.70,-11.50
24-February-2020,276.50,285.30,272.25,278.25,280.825216386405980991,42401,2492,11907270.00,14102,33.26,13.05,1.75
20-February-2020,272.00,283.60,272.00,277.55,278.168443882161575998,94061,2424,26164802.00,21230,22.57,11.60,5.55
