Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2020,132.00,134.95,127.45,132.75,131.023227986281148748,1824351,17197,239032357.00,486298,26.66,7.50,0.75
29-April-2020,119.70,132.30,117.30,126.95,126.908401434218249116,3158794,28377,400877497.00,317559,10.05,15.00,7.25
28-April-2020,117.50,120.00,114.70,117.10,117.312301737661611028,1411955,10648,165639691.00,135202,9.58,5.30,-0.40
27-April-2020,114.00,120.40,114.00,115.65,117.770594587973806223,1338944,12105,157688231.00,135334,10.11,6.40,1.65
24-April-2020,115.35,118.30,111.10,113.10,115.455600958812511486,1278665,13026,147629036.00,115845,9.06,7.20,-2.25
23-April-2020,116.80,120.90,115.10,119.45,118.130892307644716460,1293063,13936,152750686.00,148236,11.46,5.80,2.65
22-April-2020,115.75,117.50,108.00,115.25,114.156099760160521913,2204808,18603,251692282.00,186782,8.47,9.50,-0.50
21-April-2020,120.95,122.30,113.10,116.10,117.204342566456775954,2095535,24590,245605802.00,293319,14.00,9.20,-4.85
20-April-2020,130.30,133.05,123.20,128.95,129.356454473190878269,3317397,31592,429126714.00,376407,11.35,9.85,-1.35
17-April-2020,117.15,127.75,111.40,125.25,118.390671433153856799,5000468,45730,592008764.00,605167,12.10,16.35,8.10
16-April-2020,92.90,110.05,89.80,106.50,100.384619662036226586,3884440,25268,389938032.00,640104,16.48,20.25,13.60
15-April-2020,94.10,97.75,90.55,91.75,94.448493618347624826,5043443,14219,476345594.00,748548,14.84,7.20,-2.35
13-April-2020,98.30,98.65,88.50,93.85,93.048611641200400128,2502199,13806,232826143.00,204538,8.17,10.15,-4.45
9-April-2020,97.00,100.40,97.00,98.30,98.566671969237235043,1018374,7810,100377736.00,136515,13.41,3.40,1.30
8-April-2020,97.60,102.40,95.25,96.85,98.326771264320326748,1355416,10744,133273679.00,189750,14.00,7.15,-0.75
7-April-2020,101.00,102.30,96.80,98.05,98.949973423227525837,1220991,11041,120817027.00,148760,12.18,5.50,-2.95
3-April-2020,99.35,99.35,93.55,96.70,95.762482389027668049,969566,8369,92848047.00,113522,11.71,5.80,-2.65
1-April-2020,99.90,105.10,96.05,99.35,100.204949939560528690,1787739,15723,179140297.00,225732,12.63,9.05,-0.55
31-March-2020,94.80,99.00,92.05,96.55,94.561860764340438155,1159588,9057,109652799.00,176942,15.26,6.95,1.75
30-March-2020,88.00,93.00,85.80,91.30,90.358132537056796112,911911,8202,82398575.00,130625,14.32,7.20,3.30
