Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2020,395.00,397.05,378.95,381.65,385.119838872104733131,993,225,382424.00,430,43.30,18.10,-13.35
29-April-2020,386.95,394.60,381.00,387.90,387.457846952010376134,771,81,298730.00,458,59.40,13.60,0.95
28-April-2020,379.60,386.30,364.00,377.30,375.492325855962219598,847,149,318042.00,424,50.06,22.30,-2.30
27-April-2020,389.85,389.95,368.00,371.55,374.463709677419354838,1488,155,557202.00,1204,80.91,21.95,-18.30
24-April-2020,400.00,400.00,378.55,379.95,386.914619883040935672,855,155,330812.00,496,58.01,21.45,-20.05
23-April-2020,377.80,419.00,377.80,400.25,400.213023255813953488,2150,215,860458.00,1531,71.21,41.20,22.45
22-April-2020,367.30,374.70,355.30,373.25,365.495733126454615981,1289,344,471124.00,418,32.43,19.40,5.95
21-April-2020,390.40,390.40,359.10,376.95,378.005993150684931506,1168,116,441511.00,610,52.23,31.30,-13.45
20-April-2020,422.00,422.00,395.00,397.60,401.917326297273526824,2274,146,913960.00,1821,80.08,27.00,-24.40
17-April-2020,405.00,430.00,391.50,421.00,409.845968131337518107,2071,218,848791.00,1037,50.07,38.50,16.00
16-April-2020,345.45,377.40,340.10,372.70,367.651674162918540729,2001,251,735671.00,1310,65.47,37.30,27.25
15-April-2020,330.00,342.00,330.00,335.65,335.964372864812103465,2049,161,688391.00,1344,65.59,12.00,5.65
13-April-2020,329.65,377.00,315.00,318.70,328.708682885906040268,4768,193,1567283.00,2193,45.99,62.00,-10.95
9-April-2020,340.90,358.35,333.65,338.00,344.435456110154905335,2324,231,800468.00,1966,84.60,24.70,-2.90
8-April-2020,344.60,344.60,328.90,335.05,335.836611195158850226,661,63,221988.00,393,59.46,15.70,-9.55
7-April-2020,345.00,345.00,325.40,328.05,331.470238095238095238,504,58,167061.00,311,61.71,19.60,-16.95
3-April-2020,347.00,347.00,330.00,331.15,338.782258064516129032,1984,86,672144.00,1497,75.45,17.00,-15.85
1-April-2020,336.10,358.75,330.00,335.35,336.525245441795231416,1426,55,479885.00,1055,73.98,28.75,-0.75
31-March-2020,340.00,343.15,315.00,336.10,336.675662650602409638,2075,144,698602.00,1620,78.07,28.15,-3.90
30-March-2020,342.00,376.00,326.20,329.95,370.739903069466882067,6190,225,2294880.00,5850,94.51,49.80,-12.05
27-March-2020,391.35,392.00,331.00,342.05,353.040244969378827646,1143,75,403525.00,922,80.66,61.00,-49.30
26-March-2020,341.05,360.65,341.05,359.85,356.980000000000000000,50,14,17849.00,32,64.00,19.60,18.80
25-March-2020,325.00,333.80,322.15,327.90,327.815533980582524271,412,42,135060.00,274,66.50,11.65,2.90
24-March-2020,342.45,349.20,320.00,329.65,327.889983579638752052,609,68,199685.00,426,69.95,29.20,-12.80
23-March-2020,360.00,377.75,341.70,344.80,348.960026212319790301,1526,495,532513.00,1161,76.08,36.05,-15.20
20-March-2020,367.00,389.55,355.95,379.65,377.327433628318584070,1582,243,596932.00,1099,69.47,33.60,12.65
19-March-2020,425.00,425.00,343.95,356.35,360.335873388042203985,5118,804,1844199.00,2663,52.03,81.05,-68.65
18-March-2020,485.00,486.00,417.00,424.30,437.853713009491903964,1791,421,784196.00,1030,57.51,69.00,-60.70
17-March-2020,502.00,502.00,406.55,456.10,478.581717451523545706,722,257,345536.00,425,58.86,95.45,-45.90
16-March-2020,539.00,541.00,464.00,484.00,490.815007816571130797,1919,468,941874.00,1473,76.76,77.00,-55.00
13-March-2020,532.55,559.00,470.00,530.00,518.820843091334894613,854,416,443073.00,305,35.71,89.00,-2.55
12-March-2020,579.00,579.00,520.25,533.75,541.585753803596127247,1446,372,783133.00,976,67.50,58.75,-45.25
11-March-2020,586.00,602.00,567.30,577.30,582.987500000000000000,640,332,373112.00,369,57.66,34.70,-8.70
9-March-2020,610.00,610.00,563.05,579.05,585.517745302713987473,479,217,280463.00,299,62.42,46.95,-30.95
6-March-2020,583.25,614.00,583.25,609.70,600.509874326750448833,557,246,334484.00,260,46.68,30.75,26.45
5-March-2020,640.00,642.85,605.80,616.45,621.894648829431438127,598,144,371893.00,337,56.35,37.05,-23.55
4-March-2020,674.95,675.00,619.10,630.25,646.742467310972143263,1759,315,1137620.00,889,50.54,55.90,-44.70
3-March-2020,686.00,700.00,629.95,649.10,654.468277945619335347,1655,469,1083145.00,961,58.07,70.05,-36.90
2-March-2020,718.00,718.00,668.60,681.55,694.193249503639973527,1511,270,1048926.00,962,63.67,49.40,-36.45
28-February-2020,713.00,713.55,690.00,703.35,708.736625514403292181,486,219,344446.00,299,61.52,23.55,-9.65
27-February-2020,720.00,720.00,700.00,709.30,709.317159763313609467,1690,211,1198746.00,366,21.66,20.00,-10.70
26-February-2020,729.00,729.00,704.00,708.10,709.483311081441922563,749,245,531403.00,547,73.03,25.00,-20.90
25-February-2020,742.00,743.00,712.00,720.20,724.957446808510638297,846,305,613314.00,453,53.55,31.00,-21.80
24-February-2020,745.00,751.00,726.75,732.85,734.943661971830985915,497,163,365267.00,315,63.38,24.25,-12.15
20-February-2020,740.00,745.50,720.00,732.65,744.282423943835447715,24357,401,18128487.00,23600,96.89,25.50,-7.35
19-February-2020,745.00,749.00,730.20,739.35,740.426718547341115434,771,310,570869.00,479,62.13,18.80,-5.65
18-February-2020,744.00,745.00,708.00,716.40,726.066085693536673928,1377,377,999793.00,871,63.25,37.00,-27.60
17-February-2020,739.00,749.55,735.00,741.85,742.047923322683706070,313,143,232261.00,221,70.61,14.55,2.85
14-February-2020,754.00,754.00,729.85,733.90,738.610000000000000000,700,342,517027.00,301,43.00,24.15,-20.10
13-February-2020,758.50,758.50,735.50,739.45,746.434343434343434343,297,172,221691.00,177,59.60,23.00,-19.05
12-February-2020,742.00,750.00,723.00,742.00,741.436106008921542902,3811,518,2825613.00,3180,83.44,27.00,0.00
11-February-2020,800.00,800.00,736.25,754.40,763.340630005339028296,5619,1396,4289211.00,2611,46.47,63.75,-45.60
10-February-2020,767.00,799.00,748.35,782.20,774.379499217527386541,1278,507,989657.00,757,59.23,50.65,15.20
7-February-2020,750.00,767.95,730.00,750.10,743.811081441922563417,1498,452,1114229.00,754,50.33,37.95,0.10
6-February-2020,768.00,768.00,729.30,745.90,751.311829604658289917,6526,232,4903061.00,2290,35.09,38.70,-22.10
5-February-2020,763.00,775.00,750.00,752.90,760.876350163275558904,15924,372,12116195.00,292,1.83,25.00,-10.10
4-February-2020,740.00,763.80,733.35,750.80,743.542216436897225016,16901,419,12566607.00,398,2.35,30.45,10.80
3-February-2020,740.25,740.25,716.00,724.55,726.064043352423178767,16239,649,11790554.00,690,4.25,24.25,-15.70
1-February-2020,745.00,759.05,722.55,729.75,753.688420788665287442,15951,661,12022084.00,1649,10.34,36.50,-15.25
31-January-2020,765.00,769.55,726.55,743.85,747.050704225352112676,15620,306,11668932.00,248,1.59,43.00,-21.15
30-January-2020,769.00,769.00,744.30,760.95,757.682634358496427461,16095,711,12194902.00,381,2.37,24.70,-8.05
29-January-2020,737.00,760.00,730.90,753.80,736.294819856317182520,18513,786,13631026.00,2703,14.60,29.10,16.80
28-January-2020,717.00,737.75,700.25,729.95,729.751579495864000521,15353,1086,11203876.00,1822,11.87,37.50,12.95
27-January-2020,725.00,734.00,700.35,707.05,718.474258569777891898,15578,310,11192392.00,457,2.93,33.65,-17.95
24-January-2020,740.00,769.65,719.10,732.85,737.590569362581272406,16457,694,12138528.00,610,3.71,50.55,-7.15
23-January-2020,746.55,754.00,715.00,728.90,723.499972432044990902,36274,704,26244238.00,804,2.22,39.00,-17.65
22-January-2020,723.90,747.00,720.70,725.50,733.154344306529951430,1853,785,1358535.00,1000,53.97,26.30,1.60
21-January-2020,718.55,725.00,701.00,717.95,713.545059042883778744,16090,518,11480940.00,490,3.05,24.00,-0.60
20-January-2020,682.55,720.75,675.00,703.30,695.812411347517730496,2820,834,1962191.00,1593,56.49,45.75,20.75
17-January-2020,676.00,678.00,660.00,664.45,665.739441399112503262,19155,261,12752239.00,2688,14.03,18.00,-11.55
