"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SPICEJET","EQ","26-Mar-2020","         33.85","         35.00","         35.50","         33.40","         35.50","         35.50","         34.96","    4753085","           166183127.95","      22054","    2604647","         54.80"
"SPICEJET","EQ","27-Mar-2020","         35.50","         37.25","         37.25","         35.50","         36.95","         36.75","         36.90","    3481711","           128470166.00","      21652","    2426596","         69.70"
"SPICEJET","EQ","30-Mar-2020","         36.75","         36.70","         36.70","         34.95","         34.95","         35.00","         35.40","    2138684","            75709005.00","      12557","    1443528","         67.50"
"SPICEJET","EQ","31-Mar-2020","         35.00","         36.50","         36.75","         36.00","         36.75","         36.75","         36.57","    2425290","            88702329.60","      14909","    1671359","         68.91"
"SPICEJET","EQ","01-Apr-2020","         36.75","         38.50","         38.55","         37.50","         38.55","         38.55","         38.51","    1997264","            76909941.80","       6866","    1296676","         64.92"
"SPICEJET","EQ","03-Apr-2020","         38.55","         40.30","         40.45","         40.25","         40.45","         40.45","         40.43","    1057493","            42751537.95","       5825","     964795","         91.23"
"SPICEJET","EQ","07-Apr-2020","         40.45","         42.45","         42.45","         42.00","         42.45","         42.45","         42.45","     588019","            24960586.65","       3683","     553453","         94.12"
"SPICEJET","EQ","08-Apr-2020","         42.45","         44.55","         44.55","         44.55","         44.55","         44.55","         44.55","     463876","            20665675.80","       1636","     463471","         99.91"
"SPICEJET","EQ","09-Apr-2020","         44.55","         46.75","         46.75","         46.75","         46.75","         46.75","         46.75","     376720","            17611660.00","       1080","     376720","        100.00"
"SPICEJET","EQ","13-Apr-2020","         46.75","         49.05","         49.05","         44.45","         48.60","         48.60","         46.75","   10290911","           481081080.80","      36876","    3990116","         38.77"
"SPICEJET","EQ","15-Apr-2020","         48.60","         46.30","         48.40","         46.20","         46.20","         46.20","         46.82","    3884942","           181884256.60","      24641","    2413592","         62.13"
"SPICEJET","EQ","16-Apr-2020","         46.20","         44.50","         47.90","         44.10","         47.10","         46.75","         46.23","    2671374","           123504401.45","      17002","    1244948","         46.60"
"SPICEJET","EQ","17-Apr-2020","         46.75","         47.50","         48.80","         47.00","         48.50","         48.55","         47.88","    3303050","           158156071.35","      18435","    1870746","         56.64"
"SPICEJET","EQ","20-Apr-2020","         48.55","         48.70","         49.00","         47.15","         47.85","         47.75","         47.94","    1856398","            88988949.00","      12910","    1107691","         59.67"
"SPICEJET","EQ","21-Apr-2020","         47.75","         45.80","         47.00","         45.40","         46.10","         45.85","         45.62","    2288867","           104416496.55","      12991","    1212610","         52.98"
"SPICEJET","EQ","22-Apr-2020","         45.85","         45.40","         45.50","         43.60","         44.40","         44.25","         44.03","    1593385","            70152562.35","      12050","     956224","         60.01"
"SPICEJET","EQ","23-Apr-2020","         44.25","         44.50","         45.95","         44.25","         44.45","         44.40","         44.74","    1010877","            45230626.15","       7959","     585812","         57.95"
"SPICEJET","EQ","24-Apr-2020","         44.40","         44.30","         44.45","         42.25","         43.00","         42.60","         43.07","    1611813","            69420798.30","      26145","    1093400","         67.84"
