"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"WIPRO","EQ","26-Apr-2019","        295.20","        296.40","        296.65","        293.50","        294.40","        294.80","        295.21","    6196551","          1829264550.85","     120833","    3369963","         54.38"
"WIPRO","EQ","30-Apr-2019","        294.80","        295.00","        299.45","        295.00","        298.55","        298.55","        297.52","    7339917","          2183791121.20","      74491","    4068415","         55.43"
"WIPRO","EQ","02-May-2019","        298.55","        298.55","        298.85","        292.65","        293.85","        293.65","        294.97","    4539125","          1338883527.60","      48820","    2520963","         55.54"
"WIPRO","EQ","03-May-2019","        293.65","        293.50","        293.70","        288.55","        291.65","        290.90","        290.38","    7408308","          2151238960.15","     158714","    4380862","         59.13"
"WIPRO","EQ","06-May-2019","        290.90","        289.90","        293.80","        289.20","        290.90","        290.85","        291.50","    4304345","          1254732215.00","      67172","    1711610","         39.76"
"WIPRO","EQ","07-May-2019","        290.85","        292.65","        294.95","        290.30","        293.50","        293.85","        292.37","    4353844","          1272935006.45","      46196","    2801337","         64.34"
"WIPRO","EQ","08-May-2019","        293.85","        294.25","        294.25","        290.05","        291.15","        290.85","        291.14","    3952116","          1150611056.40","      93603","    2130271","         53.90"
"WIPRO","EQ","09-May-2019","        290.85","        291.80","        293.10","        290.30","        290.80","        291.05","        291.55","    3748997","          1093023825.45","      46326","    2091801","         55.80"
"WIPRO","EQ","10-May-2019","        291.05","        291.50","        292.40","        290.00","        290.10","        290.35","        290.89","    3066672","           892070029.30","      52262","    1647285","         53.72"
"WIPRO","EQ","13-May-2019","        290.35","        290.50","        293.50","        288.25","        289.30","        289.10","        290.23","    4281950","          1242735888.25","      48982","    2260886","         52.80"
"WIPRO","EQ","14-May-2019","        289.10","        289.00","        289.00","        283.10","        285.00","        284.60","        284.88","    8370424","          2384545856.10","      85249","    4526457","         54.08"
"WIPRO","EQ","15-May-2019","        284.60","        285.50","        285.95","        282.30","        282.95","        283.00","        284.09","    4315622","          1226030012.30","      89037","    2420413","         56.08"
"WIPRO","EQ","16-May-2019","        283.00","        283.85","        287.00","        283.85","        286.25","        285.35","        285.78","    3595548","          1027544202.20","      56148","    1558602","         43.35"
"WIPRO","EQ","17-May-2019","        285.35","        286.50","        289.90","        285.30","        287.30","        286.40","        287.39","    3356781","           964697583.35","      37183","    1202517","         35.82"
"WIPRO","EQ","20-May-2019","        286.40","        289.50","        291.50","        287.40","        290.90","        290.25","        289.37","    4183461","          1210584601.95","      66407","    2245977","         53.69"
"WIPRO","EQ","21-May-2019","        290.25","        290.60","        291.00","        286.00","        287.30","        286.90","        287.86","    2514667","           723876384.70","      34198","    1366802","         54.35"
